PLAYER,MATCH UP,GAME DATE,W/L,MIN,PTS
Stephen Curry,GSW vs. PHX,10/24/2023,L,31,27
LeBron James,LAL @ DEN,10/24/2023,L,29,21
Kevin Durant,PHX @ GSW,10/24/2023,W,37,18
Trae Young,ATL @ CHA,10/25/2023,L,36,23
Jayson Tatum,BOS @ NYK,10/25/2023,W,39,34
Anthony Edwards,MIN @ TOR,10/25/2023,L,38,26
Jalen Brunson,NYK vs. BOS,10/25/2023,L,33,15
Shai Gilgeous-Alexander,OKC @ CHI,10/25/2023,W,36,31
Wendell Carter Jr.,ORL vs. HOU,10/25/2023,W,27,8
Victor Wembanyama,SAS vs. DAL,10/25/2023,L,23,15
LeBron James,LAL vs. PHX,10/26/2023,W,35,21
Giannis Antetokounmpo,MIL vs. PHI,10/26/2023,W,35,23
Tyrese Maxey,PHI @ MIL,10/26/2023,L,40,31
Joel Embiid,PHI @ MIL,10/26/2023,L,36,24
Kevin Durant,PHX @ LAL,10/26/2023,L,39,39
Trae Young,ATL vs. NYK,10/27/2023,L,35,18
Jayson Tatum,BOS vs. MIA,10/27/2023,W,41,22
Stephen Curry,GSW @ SAC,10/27/2023,W,35,41
Jalen Brunson,NYK @ ATL,10/27/2023,W,33,31
Shai Gilgeous-Alexander,OKC @ CLE,10/27/2023,W,36,34
Wendell Carter Jr.,ORL @ POR,10/27/2023,W,26,8
Victor Wembanyama,SAS vs. HOU,10/27/2023,W,31,21
Anthony Edwards,MIN vs. MIA,10/28/2023,W,33,19
Jalen Brunson,NYK @ NOP,10/28/2023,L,31,14
Tyrese Maxey,PHI @ TOR,10/28/2023,W,41,34
Joel Embiid,PHI @ TOR,10/28/2023,W,35,34
Kevin Durant,PHX vs. UTA,10/28/2023,W,29,26
Trae Young,ATL @ MIL,10/29/2023,W,32,20
Stephen Curry,GSW @ HOU,10/29/2023,W,31,24
LeBron James,LAL @ SAC,10/29/2023,L,39,27
Giannis Antetokounmpo,MIL vs. ATL,10/29/2023,L,29,26
Shai Gilgeous-Alexander,OKC vs. DEN,10/29/2023,L,28,7
Tyrese Maxey,PHI vs. POR,10/29/2023,W,35,26
Joel Embiid,PHI vs. POR,10/29/2023,W,29,35
Victor Wembanyama,SAS @ LAC,10/29/2023,L,26,11
Trae Young,ATL vs. MIN,10/30/2023,W,35,24
Jayson Tatum,BOS @ WAS,10/30/2023,W,28,33
Stephen Curry,GSW @ NOP,10/30/2023,W,30,42
LeBron James,LAL vs. ORL,10/30/2023,W,33,19
Giannis Antetokounmpo,MIL vs. MIA,10/30/2023,W,32,33
Anthony Edwards,MIN @ ATL,10/30/2023,L,38,31
Shai Gilgeous-Alexander,OKC vs. DET,10/30/2023,W,33,32
Wendell Carter Jr.,ORL @ LAL,10/30/2023,L,35,10
Jalen Brunson,NYK @ CLE,10/31/2023,W,34,19
Wendell Carter Jr.,ORL @ LAC,10/31/2023,L,30,7
Kevin Durant,PHX vs. SAS,10/31/2023,L,37,26
