PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3 POINT MADE,3 POINT ATTEMPTED,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS/MINUS,FP
LeBron James,LAL,LAL @ DEN,10/24/2023,L,29,21,10,16,62.5,1,4,25,0,1,0,1,7,8,5,1,0,0,1,7,41.1
Stephen Curry,GSW,GSW vs. PHX,10/24/2023,L,31,27,8,20,40,4,14,28.6,7,7,100,1,4,5,1,1,0,2,5,-9,35.5
Kevin Durant,PHX,PHX @ GSW,10/24/2023,W,37,18,7,22,31.8,1,2,50,3,5,60,2,9,11,3,0,1,2,1,0,36.7
Anthony Edwards,MIN,MIN @ TOR,10/25/2023,L,38,26,8,27,29.6,4,7,57.1,6,6,100,5,9,14,1,0,0,2,1,0,42.3
Shai Gilgeous-Alexander,OKC,OKC @ CHI,10/25/2023,W,36,31,12,18,66.7,2,5,40,5,5,100,0,5,5,10,1,2,1,0,19,60
Jayson Tatum,BOS,BOS @ NYK,10/25/2023,W,39,34,13,22,59.1,3,8,37.5,5,6,83.3,0,11,11,4,2,1,4,3,0,58.2
Jalen Brunson,NYK,NYK vs. BOS,10/25/2023,L,33,15,6,21,28.6,3,8,37.5,0,1,0,1,2,3,6,3,0,2,3,-9,34.6
Victor Wembanyama,SAS,SAS vs. DAL,10/25/2023,L,23,15,6,9,66.7,3,5,60,0,1,0,0,5,5,2,2,1,5,5,0,28
Wendell Carter Jr.,ORL,ORL vs. HOU,10/25/2023,W,27,8,4,10,40,0,2,0,0,0,-,4,4,8,1,2,0,2,3,8,23.1
Trae Young,ATL,ATL @ CHA,10/25/2023,L,36,23,4,19,21.1,1,9,11.1,14,15,93.3,0,1,1,9,1,0,5,3,-11,35.7
LeBron James,LAL,LAL vs. PHX,10/26/2023,W,35,21,7,14,50,1,5,20,6,8,75,1,7,8,9,2,2,5,1,22,51.1
Tyrese Maxey,PHI,PHI @ MIL,10/26/2023,L,40,31,10,22,45.5,3,8,37.5,8,10,80,0,4,4,8,2,0,0,3,0,53.8
Giannis Antetokounmpo,MIL,MIL vs. PHI,10/26/2023,W,35,23,10,21,47.6,0,3,0,3,9,33.3,4,8,12,3,2,2,7,4,-13,46.9
Kevin Durant,PHX,PHX @ LAL,10/26/2023,L,39,39,14,28,50,1,5,20,10,13,76.9,0,11,11,2,1,1,8,2,18,53.2
Joel Embiid,PHI,PHI @ MIL,10/26/2023,L,36,24,9,21,42.9,3,7,42.9,3,8,37.5,0,7,7,6,0,1,7,5,-1,37.4
Stephen Curry,GSW,GSW @ SAC,10/27/2023,W,35,41,14,19,73.7,7,10,70,6,6,100,1,3,4,4,2,0,4,0,10,53.8
Shai Gilgeous-Alexander,OKC,OKC @ CLE,10/27/2023,W,36,34,15,26,57.7,2,2,100,2,2,100,1,10,11,4,5,1,5,2,4,66.2
Jayson Tatum,BOS,BOS vs. MIA,10/27/2023,W,41,22,9,22,40.9,3,10,30,1,3,33.3,0,8,8,5,1,0,2,4,13,40.1
Jalen Brunson,NYK,NYK @ ATL,10/27/2023,W,33,31,11,21,52.4,8,12,66.7,1,2,50,0,3,3,5,0,0,2,1,13,40.1
Victor Wembanyama,SAS,SAS vs. HOU,10/27/2023,W,31,21,7,19,36.8,0,6,0,7,8,87.5,5,7,12,1,3,3,4,2,9,50.9
Wendell Carter Jr.,ORL,ORL @ POR,10/27/2023,W,26,8,2,7,28.6,1,3,33.3,3,4,75,2,7,9,1,0,0,2,1,6,18.3
Trae Young,ATL,ATL vs. NYK,10/27/2023,L,35,18,4,16,25,2,5,40,8,10,80,1,2,3,12,3,0,6,2,-5,42.6
Tyrese Maxey,PHI,PHI @ TOR,10/28/2023,W,41,34,12,20,60,7,9,77.8,3,3,100,1,5,6,7,0,1,1,1,10,53.7
Anthony Edwards,MIN,MIN vs. MIA,10/28/2023,W,33,19,7,15,46.7,3,5,60,2,2,100,0,2,2,7,0,0,2,3,21,29.9
Kevin Durant,PHX,PHX vs. UTA,10/28/2023,W,29,26,8,11,72.7,1,4,25,9,9,100,0,4,4,7,1,1,2,1,30,45.3
Jalen Brunson,NYK,NYK @ NOP,10/28/2023,L,31,14,4,14,28.6,1,5,20,5,6,83.3,1,3,4,5,0,0,1,2,-9,25.3
Joel Embiid,PHI,PHI @ TOR,10/28/2023,W,35,34,14,21,66.7,1,3,33.3,5,6,83.3,0,9,9,8,1,2,1,0,-2,64.8
LeBron James,LAL,LAL @ SAC,10/29/2023,L,39,27,11,19,57.9,3,8,37.5,2,6,33.3,0,15,15,8,0,0,8,2,-5,49
Stephen Curry,GSW,GSW @ HOU,10/29/2023,W,31,24,6,16,37.5,6,14,42.9,6,6,100,1,6,7,6,0,1,1,1,-2,43.4
Tyrese Maxey,PHI,PHI vs. POR,10/29/2023,W,35,26,6,14,42.9,4,8,50,10,10,100,1,9,10,4,0,0,2,1,19,42
Giannis Antetokounmpo,MIL,MIL vs. ATL,10/29/2023,L,29,26,9,14,64.3,0,1,0,8,10,80,5,6,11,3,1,2,3,2,-11,49.7
Shai Gilgeous-Alexander,OKC,OKC vs. DEN,10/29/2023,L,28,7,2,16,12.5,0,4,0,3,4,75,1,3,4,7,1,0,0,2,-22,25.3
Victor Wembanyama,SAS,SAS @ LAC,10/29/2023,L,26,11,4,10,40,0,2,0,3,6,50,1,4,5,2,1,1,5,1,-14,21
Joel Embiid,PHI,PHI vs. POR,10/29/2023,W,29,35,12,22,54.5,2,4,50,9,12,75,5,10,15,7,2,6,3,3,28,84.5
Trae Young,ATL,ATL @ MIL,10/29/2023,W,32,20,5,14,35.7,3,8,37.5,7,9,77.8,0,3,3,11,1,0,3,1,13,40.1
LeBron James,LAL,LAL vs. ORL,10/30/2023,W,33,19,7,17,41.2,2,6,33.3,3,4,75,0,3,3,4,3,1,5,0,5,35.6
Stephen Curry,GSW,GSW @ NOP,10/30/2023,W,30,42,15,22,68.2,7,13,53.8,5,7,71.4,0,5,5,5,2,0,3,1,13,58.5
Anthony Edwards,MIN,MIN @ ATL,10/30/2023,L,38,31,13,21,61.9,5,8,62.5,0,1,0,0,5,5,7,1,0,5,4,-9,45.5
Giannis Antetokounmpo,MIL,MIL vs. MIA,10/30/2023,W,32,33,12,21,57.1,1,3,33.3,8,11,72.7,1,6,7,2,0,1,2,3,18,45.4
Shai Gilgeous-Alexander,OKC,OKC vs. DET,10/30/2023,W,33,32,11,23,47.8,1,3,33.3,9,9,100,1,8,9,4,3,0,5,2,17,52.8
Jayson Tatum,BOS,BOS @ WAS,10/30/2023,W,28,33,14,21,66.7,4,9,44.4,1,1,100,0,6,6,3,0,0,2,2,27,42.7
Wendell Carter Jr.,ORL,ORL @ LAL,10/30/2023,L,35,10,4,8,50,1,3,33.3,1,2,50,2,6,8,1,0,1,0,4,2,24.1
Trae Young,ATL,ATL vs. MIN,10/30/2023,W,35,24,9,22,40.9,1,7,14.3,5,5,100,0,1,1,8,1,0,1,1,4,39.2
